ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
5900993_04/01/2008,104.4,10.391,1026.594971,34.629,5900993_04/01/2008,-41.854,128.946,2008-01-04,Indian Ocean
1900269_04/01/2008,199.2,17.379,1025.69104,35.347,1900269_04/01/2008,-11.421,48.963,2008-01-04,Indian Ocean
5900859_04/01/2008,5.1,27.494,1022.060974,34.335,5900859_04/01/2008,-13.064,94.143,2008-01-04,Indian Ocean
1900157_04/01/2008,69.6,22.674,1024.206055,35.234,1900157_04/01/2008,-0.274,48.924,2008-01-04,Equatorial Region
2900571_04/01/2008,1994.6,2.888,1027.733032,34.797,2900571_04/01/2008,0.986,92.093,2008-01-04,Equatorial Region
1900268_04/01/2008,149.3,17.279,1025.610962,35.212,1900268_04/01/2008,-9.067,40.715,2008-01-04,Equatorial Region
2900556_04/01/2008,289.4,14.542,1026.766968,35.9,2900556_04/01/2008,18.266,64.27,2008-01-04,Arabian Sea
2900594_04/01/2008,134.0,13.604,1026.311035,35.052,2900594_04/01/2008,-5.693,64.584,2008-01-04,Equatorial Region
5900517_04/01/2008,924.5,6.467,1027.426025,34.916,5900517_04/01/2008,-2.388,93.969,2008-01-04,Equatorial Region
5901554_04/01/2008,79.5,8.799,1026.615967,34.318,5901554_04/01/2008,-47.419,109.763,2008-01-04,Indian Ocean
5901631_04/01/2008,4.6,15.516,1025.854004,34.994,5901631_04/01/2008,-41.584,137.241,2008-01-04,Indian Ocean
4900670_04/01/2008,289.3,11.851,1026.667969,35.064,4900670_04/01/2008,8.172,89.039,2008-01-04,Bay of Bengal
4900669_04/01/2008,1948.7,2.873,1027.729004,34.79,4900669_04/01/2008,2.656,87.133,2008-01-04,Equatorial Region
4900673_04/01/2008,188.9,14.273,1026.110962,34.975,4900673_04/01/2008,13.036,86.5,2008-01-04,Bay of Bengal
4900668_04/01/2008,849.5,7.367,1027.355957,34.986,4900668_04/01/2008,1.219,92.395,2008-01-04,Equatorial Region
4900675_04/01/2008,179.0,15.458,1025.82605,34.942,4900675_04/01/2008,16.222,91.838,2008-01-04,Bay of Bengal
